instance,type,origins,empty
git.darkcloud.ca,git,20,
git.data.coop,git,127,
git.datacontroller.io,git,3,
git.delaage.fr,git,29,
git.deldel.fr,git,5,
git.des.dev,git,7,
git.deuxfleurs.fr,git,143,
git.devuan.org,git,424,
git.dgnum.eu,git,130,
git.diapason.digital,git,3,
git.digitalstudium.com,git,17,
git.disroot.org,git,4683,
git.distrilab.fr,git,35,
git.distrust.co,git,26,
git.dittberner.info,git,33,
git.doap.fr,git,6,
git.dog,git,42,
git.dotya.ml,git,366,
git.dryusdan.fr,git,129,
git.echosystem.fr,git,13,
git.ecker.tech,git,88,
git.eeqj.de,git,70,
git.elektrollart.org,git,21,
git.emily.sh,git,3,
git.encryp.ch,git,86,
git.enlightenment.org,git,148,
git.entrouvert.org,git,388,
git.envs.net,git,720,
git.eseb.ovh,git,14,
git.fainsin.bzh,git,86,
git.faithcollapsing.com,git,51,
git.fasttube.de,git,76,
git.foo.be,git,56,
git.frezzen.de,git,3,
git.frogeye.fr,git,18,
git.froggi.es,git,144,
git.froth.zone,git,59,
git.fsfe.org,git,530,
git.furworks.de,git,181,
git.fws.fr,git,154,
git.g3la.de,git,12,
git.garbaye.fr,git,10,
git.gavinhoward.com,git,11,
git.golem.linux.it,git,67,
git.gotroot.ca,git,8,
git.grifon.fr,git,31,
git.gugod.fr,git,13,
git.h.hackclub.app,git,48,
git.h8u.de,git,228,
git.hadoly.fr,git,18,
git.hedwing.dev,git,43,
git.hostux.fr,git,12,
git.hpc.odu.edu,git,4,
git.ickhorn.com,git,3,
git.imirhil.fr,git,38,
git.infoforall.fr,git,18,
git.ingolf-wagner.de,git,4,
git.io-warnemuende.de,git,76,
git.ipr.univ-rennes.fr,git,46,
git.irdl.fr,git,38,
git.irsamc.ups-tlse.fr,git,77,
git.ishanjain.me,git,32,
git.itsonus.fr,git,4,
git.iut-rodez.fr,git,5,
git.ivysaur.me,git,171,
git.jacknet.io,git,51,
git.jakstys.lt,git,9,
git.janouch.name,git,28,
git.jean-cloud.net,git,54,
git.jevalide.ca,git,110,
git.jwetzell.com,git,1,
git.k-space.ee,git,128,
git.kaki87.net,git,213,
git.kanjala.com,git,5,
git.katzei.fr,git,9,
git.kaz.bzh,git,30,
git.keyemail.dev,git,11,
git.kj7rrv.com,git,26,
git.kobold.cafe,git,37,
git.koha-community.org,git,12,
git.kompot.si,git,74,
git.kska.io,git,38,
git.kun.is,git,45,
git.kytech.fr,git,12,
git.labfox.fr,git,3,
git.labolyon.fr,git,48,
git.laborejo.org,git,6,
git.lacontrevoie.fr,git,198,
git.larlet.fr,git,5,
git.lecygnenoir.info,git,12,
git.legaragenumerique.fr,git,130,
git.lgbt,git,42,
git.libretic.fr,git,53,
git.librezo.fr,git,3,
git.linux-help.org,git,66,
git.linwood.dev,git,3,
git.lipovcan.cz,git,211,
git.lix.systems,git,177,
git.lmd.vg,git,2,
git.local-it.org,git,24,
git.logicalhacking.com,git,48,
git.lubar.me,git,81,
git.lubuntu.me,git,87,
git.maboxlinux.org,git,25,
git.madhouse-project.org,git,132,
git.magicvoidpointers.com,git,16,
git.marvid.fr,git,84,
git.math98.fr,git,10,
git.mathux.org,git,23,
git.mcth.fr,git,2,
git.meli-email.org,git,23,
git.metatux.fr,git,6,
git.mihon.tech,git,12,
git.minetest.land,git,356,
git.mob-dev.fr,git,17,
git.moe.team,git,43,
git.moomoocamp.net,git,2,
git.mosad.xyz,git,74,
git.mp2i-vms.fr,git,21,
git.mr4th.com,git,14,
git.mthie.com,git,4,
git.muerell.de,git,3,
git.myceliandre.fr,git,71,
git.mylloon.fr,git,99,
git.mytinydc.com,git,2,
git.n07070.xyz,git,15,
git.nemunai.re,git,97,
git.nhenry.fr,git,6,
git.nicolaslang.fr,git,2,
git.nixnet.services,git,138,
git.noise.rocks,git,13,
git.nora.codes,git,17,
git.openprivacy.ca,git,149,
git.osmarks.net,git,61,
git.pandacube.fr,git,10,
git.passageenseine.fr,git,12,
git.pattard.fr,git,19,
git.pix-n-chill.fr,git,5,
git.poivron-robotique.fr,git,12,
git.pyrocko.org,git,58,
git.redrise.ru,git,23,
git.resf.org,git,167,
git.resilien.fr,git,28,
git.rezel.net,git,120,
git.rjp.is,git,56,
git.roflcopter.fr,git,29,
git.romanh.de,git,7,
git.rooty.fr,git,34,
git.sans.pub,git,12,
git.sciprog.center,git,53,
git.simonkellet.xyz,git,19,
git.sindominio.net,git,103,
git.slxh.eu,git,49,
git.solarpunk.moe,git,122,
git.southfox.me,git,31,
git.ssh.surf,git,76,
git.stikonas.eu,git,26,
git.supernets.org,git,116,
git.suyu.dev,git,123,
git.svallee.fr,git,12,
git.syndicate-lang.org,git,74,
git.tansorier.fr,git,8,
git.tcharles.fr,git,11,
git.tecosaur.net,git,58,
git.testing.dog,git,7,
git.tetalab.org,git,67,
git.theoludwig.fr,git,22,
git.theorangeone.net,git,86,
git.tilera.org,git,173,
git.tobast.fr,git,77,
git.tontontux.fr,git,5,
git.troplo.com,git,22,
git.tryp.io,git,33,
git.tstarr.us,git,8,
git.tunuifranken.info,git,39,
git.txs.es,git,13,
git.uncompleted.org,git,8,
git.univ-reunion.fr,git,11,
git.valvin.fr,git,10,
git.vermeulen.pro,git,33,
git.virtit.fr,git,17,
git.weebo.fr,git,2,
git.williamjcm.ovh,git,7,
git.wkit.fun,git,86,
git.woodbine.nyc,git,19,
git.wut.ee,git,144,
git.yourcmc.ru,git,132,
git.zapashcanon.fr,git,134,
git.zom.bi,git,79,
gitawonk.com,git,7,
gitcdr.univ-ubs.fr,git,39,
gitdab.com,git,1197,
gitea.anclarma.fr,git,6,
gitea.angry.im,git,63,
gitea.apps.kunc.me,git,7,
gitea.arknix.com,git,11,
gitea.arpa.li,git,42,
gitea.artixlinux.org,git,6810,
gitea.auro.re,git,106,
gitea.bakatrouble.me,git,5,
gitea.blesmrt.net,git,53,
gitea.burntworld.ca,git,38,
gitea.c3d2.de,git,138,
gitea.caracals.org,git,8,
gitea.claws.top,git,4,
gitea.com,git,7850,
gitea.dariow.fr,git,11,
gitea.dashucun.com,git,9,
gitea.digitalcircle.com.br,git,10,
gitea.dmz.rs,git,51,
gitea.elara.ws,git,58,
gitea.evolix.org,git,84,
gitea.exu.li,git,25,
gitea.fabienmcl.fr,git,12,
gitea.fhgr.ch,git,79,
gitea.geologie.ac.at,git,30,
gitea.iitdh.ac.in,git,46,
gitea.invidious.io,git,33,
gitea.it,git,426,
gitea.ladish.org,git,124,
gitea.lf3.cuni.cz,git,1,
gitea.lntu.edu.cn,git,5,
gitea.lyc-lecastel.fr,git,172,
gitea.lyrion.ch,git,36,
gitea.math.uni-leipzig.de,git,17,
gitea.michalczyk.pro,git,4,
gitea.moe,git,150,
gitea.muc.ccc.de,git,48,
gitea.ndda.fr,git,5,
gitea.nouspiro.space,git,6,
gitea.openium.fr,git,2,
gitea.osgeo.org,git,197,
gitea.osmocom.org,git,312,
gitea.pep.foundation,git,173,
gitea.philsson.com,git,16,
gitea.planet-casio.com,git,380,
gitea.polonkai.eu,git,90,
gitea.pongnot.fr,git,5,
gitea.presley.nz,git,7,
gitea.quitesimple.org,git,23,
gitea.slowb.ro,git,154,
gitea.squi.fr,git,32,
gitea.swigg.net,git,78,
gitea.sysmocom.de,git,47,
gitea.tqlwsl.moe,git,10,
gitea.treehouse.systems,git,91,
gitea.tropi.us,git,21,
gitea.ttmath.org,git,10,
gitea.typename.fr,git,15,
gitea.u-iot.spectra.de,git,1,
gitea.va.reichard.io,git,12,
gitea.verbaere.com,git,5,
gitea.ycharbi.fr,git,13,
gitea.ykn.fr,git,24,
gitlab.altinea.fr,git,7,
gitnet.fr,git,277,
gogs.prunetwork.fr,git,8,
gogs.sincrone.fr,git,5,
grond.iut-fbleau.fr,git,276,
kolaente.dev,git,209,
mattchap.dev,git,3,
molzy.com,git,19,
port.numenaute.org,git,70,
projects.blender.org,git,968,
sunnetty.online:3000,git,16,
sys4.fr,git,392,
unboundedpress.org,git,14,
vcc-gnd.cn,git,9,
www.8cubes.com,git,5,
www.xumy.vip,git,11,
github,git,298281550,
android-kvm.googlesource.com,git,16,
android.googlesource.com,git,2980,
aomedia.googlesource.com,git,7,
apache.googlesource.com,git,2931,
ara-mdk.googlesource.com,git,372,
bazel.googlesource.com,git,18,
boringssl.googlesource.com,git,3,
ceres-solver.googlesource.com,git,1,
chromium.googlesource.com,git,1945,
cobalt.googlesource.com,git,10,
code.googlesource.com,git,30,
coral.googlesource.com,git,108,
cos.googlesource.com,git,75,
cue.googlesource.com,git,3,
dart.googlesource.com,git,127,
dawn.googlesource.com,git,6,
eclipse.googlesource.com,git,3226,
eigen.googlesource.com,git,2,
flutter.googlesource.com,git,60,
foss-eda-tools.googlesource.com,git,486,
fuchsia.googlesource.com,git,495,
ganeti.googlesource.com,git,5,
gem5.googlesource.com,git,18,
geovelo.googlesource.com,git,1,
gerrit.googlesource.com,git,237,
git.libreoffice.org,git,80,
git01.mediatek.com,git,12,
gn.googlesource.com,git,3,
gnu.googlesource.com,git,10,
go.googlesource.com,git,51,
goma.googlesource.com,git,5,
googlers.googlesource.com,git,11,
gvisor.googlesource.com,git,1,
gwt.googlesource.com,git,3,
hafnium.googlesource.com,git,10,
kernel.googlesource.com,git,1343,
kunit.googlesource.com,git,8,
linux.googlesource.com,git,35,
llvm.googlesource.com,git,45,
manganese.googlesource.com,git,2,
maps-booking.googlesource.com,git,11,
melange.googlesource.com,git,3,
mundane.googlesource.com,git,3,
nest-open-source.googlesource.com,git,6800,
nginx.googlesource.com,git,7,
pdfium.googlesource.com,git,4,
pigweed.googlesource.com,git,142,
plan9port.googlesource.com,git,3,
protobuf-dt.googlesource.com,git,3,
qemu-android.googlesource.com,git,7,
qemu.googlesource.com,git,22,
quiche.googlesource.com,git,4,
r8.googlesource.com,git,3,
roughtime.googlesource.com,git,3,
skia.googlesource.com,git,48,
swiftshader.googlesource.com,git,2,
third-party-mirror.googlesource.com,git,129,
upspin.googlesource.com,git,2,
us3-mirror-android.googlesource.com,git,2979,
vanadium.googlesource.com,git,49,
weave.googlesource.com,git,1,
webkit.googlesource.com,git,1,
webrtc.googlesource.com,git,8,
0xacab.org,git,1953,
agile.bu.edu,git,73,
annas-software.org,git,197,
arcgl.wpi.edu,git,29,
ascgitlab.helmholtz-munich.de,git,75,
athene2.informatik.unibw-muenchen.de,git,20,
cameleon.univ-lyon1.fr,git,46,
ccb-gitlab.cs.uni-saarland.de,git,12,
chaos.expert,git,364,
class-git.engineering.uiowa.edu,git,17,
cls-gitlab.phil.uni-wuerzburg.de,git,11,
cm-gitlab.stanford.edu,git,48,
code.cs.earlham.edu,git,87,
code.electrolab.fr,git,168,
code.europa.eu,git,604,
code.ffdn.org,git,118,
code.ill.fr,git,153,
code.ini.uzh.ch,git,39,
code.inno3.eu,git,7,
code.mayfirst.org,git,30,
code.officialstatistics.org,git,68,
code.peren.fr,git,59,
code.stanford.edu,git,467,
code.umd.edu,git,53,
code.videolan.org,git,2229,
code.vt.edu,git,730,
code.waarp.fr,git,9,
code.wm.edu,git,55,
codebase.helmholtz.cloud,git,1266,
core-gitlfs.tpi.uni-jena.de,git,319,
csgitlab.reading.ac.uk,git,937,
datascience.aeolus.wsu.edu,git,10,
dci-gitlab.cines.fr,git,38,
dei-gitlab.dei.unibo.it,git,14,
depot.lipn.univ-paris13.fr,git,113,
dev.sisa.com.ar,git,4,
devops.telecomste.fr,git,259,
devsgn.ign.fr,git,5,
dgit.cs.uni-saarland.de,git,73,
drf-gitlab.cea.fr,git,6,
dvcs.apice.unibo.it,git,45,
e-gitlab.univ-lemans.fr,git,62,
edu-git.ac-versailles.fr,git,36,
egitlab.iti.es,git,5,
epos-ci.brgm.fr,git,3,
ess.cs.uos.de,git,33,
etulab.univ-amu.fr,git,1155,
forge-2.ircam.fr,git,27,
forge.aeif.fr,git,573,
forge.apps.education.fr,git,1307,
forge.inrae.fr,git,2253,
forge.ird.fr,git,156,
forge.iut-larochelle.fr,git,162,
forge.oasu.u-bordeaux.fr,git,28,
forge.tedomum.net,git,465,
forge.uclouvain.be,git,668,
forge.univ-lyon1.fr,git,1401,
forgemia.inra.fr,git,4048,
framagit.org,git,27290,
gaufre.informatique.univ-paris-diderot.fr,git,769,
gdv-gitlab.inf.uni-bayreuth.de,git,15,
geii.iutmontp.univ-montp2.fr:8888,git,4,
git-ce.rwth-aachen.de,git,415,
git-classes.mst.edu,git,85,
git-cral.univ-lyon1.fr,git,27,
git-crypto.elen.ucl.ac.be,git,8,
git-etudiants.lacl.fr,git,10,
git-lium.univ-lemans.fr,git,69,
git-ps.informatik.uni-kiel.de,git,223,
git-repo.iml.unibe.ch,git,27,
git-st.inf.tu-dresden.de,git,165,
git-web.sa-cim.fr,git,3,
git-xen.lmgc.univ-montp2.fr,git,21,
git.1pixel.ch,git,9,
git.aae.wisc.edu,git,16,
git.abfelbaum.dev,git,23,
git.abscue.de,git,38,
git.achatsolutions.fr,git,4,
git.adelielinux.org,git,183,
git.ademe.fr,git,13,
git.aims.ac.za,git,7,
git.airweb.fr,git,7,
git.ais.uni-bonn.de,git,26,
git.anje-justice.fr,git,7,
git.antares.id,git,3,
git.app.uib.no,git,4292,
git.archive.org,git,142,
git.argentina.gob.ar,git,5,
git.astron.nl,git,317,
git.autistici.org,git,325,
git.bazhlab.ucsd.edu,git,4,
git.bcbl.eu,git,22,
git.beagleboard.org,git,788,
git.beta.francetravail.fr,git,16,
git.biohpc.swmed.edu,git,202,
git.bitmycode.com,git,69,
git.bsse.ethz.ch,git,83,
git.bubu1.eu,git,37,
git.cbi.igbmc.fr,git,38,
git.cbm.gsi.de,git,250,
git.chainmaker.org.cn,git,366,
git.chalmers.se,git,236,
git.chevro.fr,git,74,
git.cines.fr,git,38,
git.circ.rochester.edu,git,25,
git.cloudron.io,git,752,
git.code.tecnalia.com,git,224,
git.codelinaro.org,git,7055,
git.comnets.net,git,3,
git.compilenix.org,git,72,
git.computational.bio.uni-giessen.de,git,40,
git.congatec.com,git,95,
git.coop,git,489,
git.cs.du.edu,git,153,
git.cs.ou.nl,git,13,
git.cs.rit.edu,git,36,
git.cs.sun.ac.za,git,24,
git.cs.vt.edu,git,267,
git.cse.iitb.ac.in,git,91,
git.csic.es,git,175,
git.cybertron.fr,git,30,
git.cyu.fr,git,65,
git.dbogatov.org,git,36,
git.dcc.sib.swiss,git,43,
git.defproc.co.uk,git,24,
git.dhvlab.org,git,6,
git.do.srb2.org,git,241,
git.doit.wisc.edu,git,595,
git.drees.fr,git,74,
git.drk.sc,git,113,
git.drupalcode.org,git,57876,
git.dst.etit.tu-chemnitz.de,git,6,
git.dti.crosemont.quebec,git,972,
git.duniter.org,git,437,
git.dynare.org,git,102,
git.ecdf.ed.ac.uk,git,807,
git.ece.iastate.edu,git,289,
git.ee.ethz.ch,git,9,
git.elektro.dtu.dk,git,5,
git.eleves.ens.fr,git,258,
git.embl.de,git,1363,
git.enib.fr,git,174,
git.esi-bru.be,git,361,
git.esiee.fr,git,786,
git.eta.st,git,99,
git.etis-lab.fr,git,3,
git.exeter.ac.uk,git,75,
git.fairkom.net,git,314,
git.fdn.fr,git,8,
git.felinn.org,git,25,
git.fim.uni-passau.de,git,88,
git.floragunn.com,git,28,
git.flow3r.garden,git,538,
git.fmrib.ox.ac.uk,git,622,
git.forum.ircam.fr,git,2700,
git.fpfis.tech.ec.europa.eu,git,37,
git.frama-c.com,git,37,
git.fs.lmu.de,git,47,
git.gem.ec-nantes.fr,git,23,
git.glasklar.is,git,102,
git.gsi.de,git,479,
git.hardenedbsd.org,git,134,
git.harrault.fr,git,33,
git.hci.uni-hannover.de,git,3,
git.hexanyn.fr,git,69,
git.iac.ethz.ch,git,63,
git.ias.u-psud.fr,git,136,
git.icam.fr,git,45,
git.icare.univ-lille.fr,git,11,
git.iccas.de,git,8,
git.icinga.com,git,102,
git.ics.fr,git,1,
git.iem.at,git,396,
git.ifro.edu.br,git,14,
git.ig-edu.univ-paris13.fr,git,10,
git.iiens.net,git,187,
git.ime.uni-luebeck.de,git,3,
git.imp.fu-berlin.de,git,666,
git.in.moodle.com,git,30,
git.informatik.uni-kiel.de,git,100,
git.informatik.uni-leipzig.de,git,499,
git.informatik.uni-rostock.de,git,123,
git.inp.nsk.su,git,38,
git.inpt.fr,git,145,
git.insomnia247.nl,git,79,
git.ircad.fr,git,14,
git.isir.upmc.fr,git,109,
git.ispconfig.org,git,294,
git.ista.ac.at,git,134,
git.it.essbilbao.org,git,17,
git.iti.cs.ovgu.de,git,47,
git.itm.uni-luebeck.de,git,17,
git.iws.uni-stuttgart.de,git,207,
git.jami.net,git,19,
git.jekel.ca,git,61,
git.kis.fr,git,2,
git.kkg.berlin,git,45,
git.kuschku.de,git,65,
git.l3s.uni-hannover.de,git,127,
git.lab.viaco.fr,git,1,
git.lacl.fr,git,29,
git.lamsade.dauphine.fr,git,17,
git.laquadrature.net,git,204,
git.lavasoftware.org,git,128,
git.leximpact.dev,git,38,
git.lfb.rwth-aachen.de,git,4,
git.ligo.org,git,2642,
git.liris.cnrs.fr,git,170,
git.loe.auf.uni-rostock.de,git,33,
git.lutes.upmc.fr,git,11,
git.lysator.liu.se,git,242,
git.math.uzh.ch,git,130,
git.maths.cam.ac.uk,git,3,
git.mchi.mcgill.ca,git,14,
git.metabarcoding.org,git,29,
git.mhcomm.fr,git,2,
git.microline.ru,git,9,
git.morello-project.org,git,207,
git.mpib-berlin.mpg.de,git,460,
git.msh-lse.fr,git,16,
git.mst.edu,git,269,
git.ncsa.illinois.edu,git,65,
git.neogeo.fr,git,49,
git.nomics.world,git,262,
git.octree.ch,git,40,
git.oecd-nea.org,git,27,
git.oeru.org,git,92,
git.opencarp.org,git,21,
git.openlogisticsfoundation.org,git,86,
git.ortolang.fr,git,8,
git.passcal.nmt.edu,git,39,
git.physik.uni-wuerzburg.de,git,84,
git.pleroma.social,git,865,
git.puscii.nl,git,64,
git.qaar.ru,git,12,
git.ralph.or.at,git,13,
git.ram.eemcs.utwente.nl,git,22,
git.rcc.uchicago.edu,git,93,
git.resel.fr,git,36,
git.rockylinux.org,git,9828,
git.rwth-aachen.de,git,3691,
git.rz.uni-augsburg.de,git,85,
git.s2.rpn.ch,git,140,
git.sc.uni-leipzig.de,git,147,
git.scicore.unibas.ch,git,90,
git.science.uu.nl,git,473,
git.scipost.org,git,37,
git.se.informatik.uni-kiel.de,git,112,
