id,domain,software,users_count,monthly_active_users
17320,xarxa.cloud,Mastodon,394,219
52641,chinanews.social,Mastodon,391,18
17406,pullopen.xyz,Mastodon,389,140
54133,misskey.chilitreat.dev,Misskey,387,
35834,fisting.social,Mastodon,387,15
17781,mstdn.love,Mastodon,387,50
16568,mastodon.sk,Mastodon,386,33
80456,nicecrew.tv,PeerTube,385,38
23857,rail.chat,Mastodon,385,39
19059,mahiradon.com,Mastodon,385,66
3819,fnordon.de,Mastodon,385,216
6651,xn--69aa8bzb.xn--y9a3aq,Mastodon,384,34
70089,relay.dresden.network,Activity-Relay,381,381
51972,gaydadon.jp,Mastodon,379,53
17176,triangletoot.party,Mastodon,378,67
10817,artoot.xyz,Mastodon,377,1
70937,biologists.social,Mastodon,376,64
72328,nsfwmisskey.narazaka.net,Misskey,373,
16548,mastodon.compositecomputer.club,Mastodon,373,120
65576,www.zohup.com,Mastodon,371,12
18659,pixelfed.eu,Pixelfed,371,23
73720,planetearth.social,Mastodon,369,49
72570,mi.taichan.site,Misskey,369,
13575,tube.crapaud-fou.org,PeerTube,369,1
52288,imsb.app,Mastodon,367,41
153885,pixelfed.global,Pixelfed,363,54
27617,brettspiel.space,Mastodon,363,116
145710,occom.masto.host,Mastodon,362,168
17680,theres.life,Mastodon,361,58
16975,precure.ml,Mastodon,361,22
23755,helvede.net,Mastodon,360,122
53286,burningboard.net,Mastodon,359,107
15002,handon.club,Mastodon,357,146
17379,kancolle.social,Mastodon,356,55
161531,piefed.world,Piefed,355,99
6216,pcgamer.social,Mastodon,355,18
66209,vernissage.photos,Vernissage,354,62
161454,piefed.blahaj.zone,Piefed,353,136
81713,woem.men,Sharkey,352,
5914,janogdon.net,Mastodon,352,6
31632,mobilizon.nl,Mobilizon,351,
48823,social.spejset.org,Mastodon,350,134
19451,im.allmendenetz.de,Hubzilla,349,69
16688,node9.org,Hubzilla,348,5
9774,newskey.cc,Misskey,348,44
17355,social.xenofem.me,Pleroma,347,151
9737,mstdn.hyogo.jp,Mastodon,347,8
54533,rheinneckar.events,Mobilizon,345,
5639,wyrms.de,Bookwyrm,342,33
81252,catodon.social,,341,37
30932,cultur.social,Mastodon,341,73
13878,co.misskey.io,Misskey,341,63
8158,7144.party,Mastodon,341,14
20488,events.cudy.org,Mobilizon,340,
17725,nightly.fedibird.com,Fedibird,339,84
5250,legal.social,Mastodon,339,82
53233,mastodon.pnpde.social,Mastodon,338,149
156734,neopaquita.es,Mastodon,337,292
31781,floofy.tech,Mastodon,337,82
28265,toot.re,Mastodon,336,57
4253,ukadon.shillest.net,Mastodon,336,142
57013,relay.toot.yukimochi.jp,Activity-Relay,333,333
34475,opencoaster.net,Mastodon,333,76
17934,friends.cafe,Mastodon,331,78
153368,pix.netfreaks.fr,Pixelfed,330,130
28511,lingo.lol,Mastodon,330,58
19737,honi.club,Misskey,328,56
79,mustardon.tokyo,Mastodon,328,1
55927,masto.globaleas.org,Mastodon,327,182
152817,cupid.careers,,326,
25538,senigallia.one,Mastodon,326,11
68429,lemmy.radio,Lemmy,324,19
16747,m6n.onsen.tech,Mastodon,324,16
48976,mastodo.neoliber.al,Mastodon,323,58
22519,mastodon.antisocial.science,Mastodon,322,50
35194,synapse.cafe,Mastodon,321,18
32987,owo.cafe,Mastodon,321,118
26166,rankett.net,PeerTube,321,35
6128,mastodon.atikoro.net,Mastodon,321,1
36102,social.sdf.org,Mastodon,320,95
31276,nicuverse.org,Mastodon,320,33
17617,pleroma.envs.net,Akkoma,320,61
27465,mastodon.beer,Mastodon,318,44
10891,odakyu.app,Mastodon,318,30
65208,federation.network,Sharkey,317,101
28510,front-end.social,Mastodon,316,156
50523,india.goonj.xyz,Mastodon,315,47
23879,worldkey.io,Mastodon,315,79
20880,social.goonj.xyz,Mastodon,315,47
17349,dragon.style,Mastodon,315,73
31949,hed.im,Mastodon,314,23
27917,drosophila.social,Mastodon,314,21
16232,rettiwtkcuf.social,Mastodon,314,5
21428,collapse.cat,Lemmy,313,1
51262,gamepad.club,Mastodon,312,118
35328,toots.matapacos.dog,Hometown,312,66
23843,tyazzkey.work,Misskey,312,20
27873,frikiverse.zone,Mastodon,311,113
27691,wonkodon.com,Mastodon,310,18
45976,jazztodon.com,Mastodon,309,41
34057,xn--j5r817a.com,Mastodon,309,47
25206,soc.ua-fediland.de,Mastodon,309,56
28872,dftba.club,Mastodon,306,51
152029,vhsky.cz,PeerTube,305,69
156926,europe.pub,Lemmy,304,47
154082,fotolibre.social,Pixelfed,304,105
82647,antroblogi.fi,WordPress,304,262
75911,nicagram.com,Pixelfed,303,16
66481,puritan.pub,Mastodon,302,19
3966,kcmo.social,Mastodon,302,19
17701,allships.run,Mastodon,299,84
17438,chilemasto.casa,Mastodon,299,35
161054,sicomaparts.com,Plume,298,
149272,pixelfed.ch,Pixelfed,298,54
80022,takahe.schach.social,Takahe,298,
35792,social.circl.lu,Mastodon,296,26
24843,k8s.social,Mastodon,296,23
17376,friends.grishka.me,Smithereen,296,29
16184,pounced-on.me,Mastodon,296,69
16087,fanfare.horse,Mastodon,295,17
80200,blogz.zaclys.com,Writefreely,294,23
76396,hooves.social,Sharkey,294,23
30553,brands.town,Mastodon,294,35
16187,mastodon.opencloud.lu,Mastodon,294,71
17271,mstdn.y-zu.org,Mastodon,293,47
85636,pics.gayfr.online,Pixelfed,292,35
15075,canada.masto.host,Mastodon,292,17
70804,feddit.online,Piefed,291,75
84945,23.social,Mastodon,290,202
83294,social.toplap.org,Mastodon,290,91
28558,vermont.masto.host,Mastodon,290,29
24056,tabletop.vip,Mastodon,290,31
20657,438punk.house,Hometown,290,134
148697,peertube.cocamserverguild.com,PeerTube,289,9
