org_id,count
ORG-FS6-RIPE,159
ORG-JMGK1-RIPE,7363
ORG-CIL10-RIPE,3636
@aut-45090-APNIC,14261
@aut-141340-APNIC,154
ORG-CL5-AFRINIC,72
ORG-SHA12-RIPE,526
PAIR-ARIN,8998
ORG-PPSC1-RIPE,15457
ORG-BL42-RIPE,3100
ORG-TP3-RIPE,8397
ORG-RC44-RIPE,2100
@aut-4847-APNIC,1900
ORG-BCTJ1-RIPE,9925
ORG-DA1220-RIPE,591
ORG-JITP1-AP-APNIC,822
SF-136-ARIN,380
ORG-MMIA3-RIPE,13442
ORG-BME1-RIPE,374
OH-207-ARIN,18912
ORG-NICT1-AP-APNIC,80
ORG-CISP3-AP-APNIC,811
ORG-MA68-AP-APNIC,790
ORG-DC1-AFRINIC,4421
ORG-IO2-RIPE,2051
WOWTEC-1-ARIN,2141
ORG-OA356-RIPE,42589
ORG-CA1679-RIPE,1150
ORG-MIS2-RIPE,21148
ORG-HSG23-RIPE,833
UCSC-ARIN,290
ORG-RA8-RIPE,23486
ORG-IA1343-RIPE,191
AF-81-ARIN,6
ORG-VRUA1-RIPE,159
GLOBO-ARIN,8620
ORG-RAB1-RIPE,33094
ORG-UA23-RIPE,15741
ORG-ZIL1-RIPE,1551
ORG-MS534-RIPE,662
ORG-IACD1-RIPE,157
ORG-ETC2-AFRINIC,1389
ORG-RCOI1-AP-APNIC,1334
CBSL-13-ARIN,79
ORACLE-4-ARIN,41017
APPLI-22-ARIN,193
ORG-ATK1-RIPE,2114
QN-21-ARIN,30326
ORG-TSK2-RIPE,8627
ORG-IIL39-RIPE,13068
MIT-2-ARIN,1417
ORG-ISS3-RIPE,23727
SCN-18-ARIN,66326
ORG-UL3-RIPE,18100
ORG-BS47-RIPE,232
ORG-TA10-RIPE,2012
ORG-CU1-AP-APNIC,14489
ORG-AS25-RIPE,37901
@aut-146987-JPNIC,12819
ORG-LWSE1-RIPE,9344
ORG-TTMB1-AP-APNIC,3579
ORG-RU1-AFRINIC,58
ORG-PSSL1-RIPE,57
@aut-38779-APNIC,46
ORG-NG51-RIPE,16056
@aut-9999-JPNIC,378
ORG-TCL3-RIPE,514
ORG-KS87-RIPE,5621
ORG-TIA27-RIPE,5549
ORG-JR15-RIPE,27285
ORG-UDSL2-RIPE,4466
LQWB-ARIN,86014
ORG-IDSS3-RIPE,57
ORG-EISE1-RIPE,7505
ORG-PS2-RIPE,537
ORG-CAPL2-AP-APNIC,1909
ORG-ITL13-RIPE,4775
ORG-STCS1-AP-APNIC,25031
ORG-AT1-RIPE,582188
@aut-149372-APNIC,22
ORG-DH8-RIPE,10410
ORG-DD133-RIPE,11781
@aut-38700-APNIC,5815
ORG-BA1104-RIPE,992
ORG-DL1-RIPE,3703
ORG-GWSN7-RIPE,5926
ORG-RL20-RIPE,4922
ORG-SS168-RIPE,15473
@aut-7514-JPNIC,8009
ORG-PNEV1-RIPE,632
VINS-ARIN,6865
ORG-SN213-RIPE,3023
ORG-IB3-RIPE,1525
ORG-CL145-RIPE,20
ORG-UL6-RIPE,1842
ORG-NNA1-RIPE,4135
ORG-RL19-RIPE,15782
FC2IN-1-ARIN,31612
ORG-ZB24-RIPE,17717
ORG-CTML1-AFRINIC,2734
ZOHOC-ARIN,5384
WEHOST-1-ARIN,3241
ORG-HAHL1-RIPE,105
@aut-7687-JPNIC,21
SERVE-119-ARIN,19287
@aut-9526-APNIC,114
ORG-IS1-RIPE,13937
ORG-VS30-RIPE,553
GIT-20-ARIN,15640
ORG-BCPL4-AP-APNIC,5298
ORG-SL311-RIPE,16243
ORG-NTS58-RIPE,4079
ORG-CLR1-RIPE,82
ORG-BG12-RIPE,523
ORG-IS30-RIPE,2108
@aut-17514-JPNIC,3656
@aut-58404-APNIC,2023
@aut-55990-APNIC,4448
ORG-SDGS1-RIPE,3647
@aut-135868-APNIC,252
ORG-MIVA2-RIPE,86
ORG-DD4-RIPE,6145
ORG-UL5-RIPE,8728
ORG-SGPL5-AP-APNIC,2580
ORG-FTS26-RIPE,2180
ORG-WL62-RIPE,3283
@aut-17841-APNIC,3681
ORG-GOPL2-AP-APNIC,2527
ORG-IG16-RIPE,4256
ORG-TCA24-RIPE,1332
ORG-EG44-RIPE,1654
ORG-FF1-RIPE,2107
ORG-SA28-RIPE,3691
ORG-NSSM5-RIPE,6627
ORG-GG160-RIPE,542
ORG-MD161-RIPE,2761
ORG-SB3-RIPE,3761
RISQ-Z-ARIN,3054
UNIVER-258-ARIN,64
ORG-NIC2-AP-APNIC,13511
RS-1125-ARIN,4828
ORG-PA1-AP-APNIC,1187
@aut-135967-APNIC,3449
ORG-TCL6-AP-APNIC,5277
ORG-TA44-RIPE,5674
ORG-TYHS1-RIPE,1412
ORG-RK26-RIPE,1428
ORG-DCL10-RIPE,2622
@aut-37936-APNIC,2426
@aut-139442-APNIC,316
ORG-KSL2-RIPE,17392
ORG-TIS3-RIPE,5616
ORG-IB55-RIPE,11286
YOTTA-1-ARIN,22888
RL-323-ARIN,7568
INTER-83-ARIN,19289
ORG-VA3-RIPE,417
ORG-EHKL2-AP-APNIC,3350
SYNDI-5-ARIN,10045
ORG-RHS4-RIPE,33
ORG-TTG2-RIPE,4021
ORG-GIL2-RIPE,3706
ORG-TPL21-RIPE,3662
ORG-HUL6-RIPE,54690
ORG-ZMO2-RIPE,12896
@aut-55660-APNIC,1853
ORG-FESK2-RIPE,4393
ORG-TDE1-RIPE,16893
ORG-BA4-RIPE,2111
ORG-AA27-RIPE,1118
@aut-135175-APNIC,356
ORG-CA1567-RIPE,229
@aut-140766-APNIC,403
ORG-PIUL1-RIPE,343
ORG-GCI2-RIPE,4658
ORG-SL556-RIPE,14
ORG-OSZO10-RIPE,69611
ORG-SN3-RIPE,2370
ORG-WA106-RIPE,23265
ORG-HC1-AFRINIC,25604
ORG-GA13-RIPE,14822
ORG-TM2-RIPE,10629
@aut-10006-JPNIC,1066
ORG-DL236-RIPE,87905
ORG-SB523-RIPE,1933
ORG-TI10-AP-APNIC,4727
ORG-UOTI1-RIPE,505
ORG-AMN2-RIPE,110
ORG-FI63-RIPE,1344
ORG-AADP2-RIPE,813
ORG-ATL38-RIPE,267
ORG-RL7-AP-APNIC,86
ORG-IL194-RIPE,163
OL-372-ARIN,202
ORG-PCS21-RIPE,191
ORG-IL319-RIPE,14481
ORG-JR8-RIPE,19564
RDPL-2-ARIN,1476
ORG-YO9-RIPE,27169
ORG-BCC2-AP-APNIC,2982
TSSL-2-ARIN,5315
ORG-PECO1-RIPE,89
ORG-BSZO4-RIPE,24796
ORG-LA1019-RIPE,565
ORG-FIL8-RIPE,2346
ORG-VL47-RIPE,5290
ORG-HCL11-RIPE,6225
ORG-VON1-RIPE,2351
ORG-DL201-RIPE,21397
ORG-SS1-RIPE,2346
ORG-SHCT1-RIPE,1701
ORG-WA553-RIPE,13
ORG-PCL2-RIPE,7302
ORG-ASL4-RIPE,2982
ORG-MRS11-RIPE,4455
ORG-TIL23-RIPE,335
CERFN-ARIN,188
ORG-RDG4-RIPE,4848
ORG-UOI1-AP-APNIC,363
